"","hour","ph","avg_ph","sd","n","se"
"1",0,"C",8.04355615648681,0.0328366643351641,13748,0.00028005238254612
"2",0,"L",7.80786117013483,0.0298346294337403,13748,0.000254449080759768
"3",1,"C",8.0385070669697,0.0316041004617889,13752,0.000269501074963622
"4",1,"L",7.80177973474636,0.0312362631509246,13752,0.000266364375951748
"5",2,"C",8.03281949317768,0.0329322624642344,13744,0.000280908573774346
"6",2,"L",7.79596979778609,0.0328965938137085,13744,0.000280604324111616
"7",3,"C",8.0267358189812,0.0335164612441078,13744,0.000285891725060511
"8",3,"L",7.79111718280324,0.0340014580673265,13744,0.000290028694576147
"9",4,"C",8.02291002245237,0.0330680852174786,13780,0.000281698438327326
"10",4,"L",7.78725218832128,0.0349814523936588,13780,0.00029799791687082
"11",5,"C",8.02034819019934,0.0330075661322235,13796,0.000281019792802965
"12",5,"L",7.78487955710847,0.0349678935848173,13796,0.000297709627259316
"13",6,"C",8.02120593134441,0.0330212030180941,13792,0.000281176659522741
"14",6,"L",7.78436156399503,0.0357377011246425,13792,0.000304307732693533
"15",7,"C",8.02341050148942,0.0315108073719252,13980,0.000266505358207947
"16",7,"L",7.78684950593188,0.0374509676399147,13980,0.000316744773572582
"17",8,"C",8.02525741288161,0.0333457217788264,13984,0.000281983966143148
"18",8,"L",7.78665666934497,0.0407587260495158,13984,0.000344671118610558
"19",9,"C",8.02919254616693,0.0524556488122164,14084,0.000442007109540454
"20",9,"L",7.78670438415284,0.0434307715950554,14084,0.000365960773577762
"21",10,"C",8.03466510215698,0.0458165473324579,13904,0.000388554979265752
"22",10,"L",7.79189189312153,0.0200958058860833,13904,0.000170425880910149
"23",11,"C",8.0405169380178,0.0386119518237459,13588,0.000331240923319667
"24",11,"L",7.79805978137844,0.0115301344204154,13588,9.89137350230893e-05
"25",12,"C",8.04488005641858,0.0477460869028738,13528,0.000410507396739333
"26",12,"L",7.80473541360501,0.00855257542643301,13528,7.35326327550936e-05
"27",13,"C",8.05093233044554,0.0413715104683272,13480,0.000356333317440314
"28",13,"L",7.81167609969473,0.0116575282381345,13480,0.00010040643097691
"29",14,"C",8.05712223853493,0.0393050726621029,13552,0.000337634569893661
"30",14,"L",7.8184480276402,0.0157973468649566,13552,0.000135700815517211
"31",15,"C",8.06279926622486,0.0366352414493767,13680,0.00031322470542061
"32",15,"L",7.82460774256799,0.0184952594007258,13680,0.000158131131344534
"33",16,"C",8.06629449363906,0.0315283667882253,13680,0.000269561848344331
"34",16,"L",7.82770159598355,0.0172340594956949,13680,0.000147348099676088
"35",17,"C",8.06675361941038,0.0320088189354954,13680,0.000273669627530264
"36",17,"L",7.82967610861689,0.0192225307735314,13680,0.000164349170382783
"37",18,"C",8.06285753298294,0.0301569989657168,13680,0.000257836900855666
"38",18,"L",7.83043239321687,0.0208001613230582,13680,0.000177837626977805
"39",19,"C",8.06327302605119,0.0192292120348403,13680,0.000164406293961679
"40",19,"L",7.82984866768964,0.0223888764317977,13680,0.00019142085455445
"41",20,"C",8.06095160291092,0.0260121913959603,13680,0.000222399543854591
"42",20,"L",7.8276634949638,0.0238978818337949,13680,0.000204322578518022
"43",21,"C",8.05733876195917,0.0354848753172064,13680,0.000303389282515788
"44",21,"L",7.82383640481624,0.0255165671394993,13680,0.000218162045872114
"45",22,"C",8.05425773664965,0.0343929240879178,13680,0.000294053296492598
"46",22,"L",7.81938611543909,0.0267641312533034,13680,0.000228828493985458
"47",23,"C",8.04928168820418,0.0340755920175781,13600,0.0002921957909454
"48",23,"L",7.81360665402544,0.0291929828283105,13600,0.00025032776255724
